reference,Category,NCSP Category (Search output),Parameter  (Search output),First,Second,Sub-category,reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,Food Search Output (Code),Food Search Output (Description),Number of alerts,COMMENT ON FOOD CLASSIFICATION,COMMENT ON PARAMETER CLASSIFICATION,Amended FoodEx2 Code,Amended FoodEx2 Description
2024.0155,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2024.0155,confectionery,food,Candy gummies containing canabinoids (THCP),09-01-2024 15:25:50,Sweden,alert notification,potentially serious,Sweden,,Germany,"Germany,Sweden",unknown origin,,A035L,Jelly candies,1,,,,
2024.0049,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2024.0049,other food product / mixed,food,CBD and other cannabinoids,03-01-2024 17:13:08,Sweden,information notification for follow-up,potential risk,Sweden,Sweden,Slovenia,"Slovenia,Sweden",Slovenia,,#N/A,#N/A,1,,,,
2024.0042,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2024.0042,other food product / mixed,food,THC-P  and other cannabinoids in different products,03-01-2024 15:10:35,Sweden,alert notification,potentially serious,,"Germany,Sweden",Germany,,,,#N/A,#N/A,1,,,,
2024.0026,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2024.0026,fats and oils,food,Increased levels of tetrahydrocannabinol (THC) in organic hemp oil from Lithuania,03-01-2024 10:28:15,Lithuania,alert notification,serious,"Czech Republic,Lithuania,Sweden",,,Lithuania,Lithuania,tetrahydrocanabinol (THC),A03SS,Herbal formulations and plant extracts,1,,,A18FZ,Hemp seed oil
2023.8981,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8981,alcoholic beverages,food,rhum infused with CBD,29-12-2023 10:24:50,France,information notification for attention,potential risk,France,"INFOSAN,United Kingdom",United Kingdom,United Kingdom,United Kingdom,,#N/A,#N/A,1,https://webgate.ec.europa.eu/rasff-window/screen/notification/651218,,A03PJ,Rum
2023.8735,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8735,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food - CBD drink,18-12-2023 17:44:53,Ireland,information notification for attention,not serious,Ireland,INFOSAN,United Kingdom,"Ireland,United Kingdom",United Kingdom,,A03DJ,Water and water-based beverages,1,,,,
2023.8713,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8713,non-alcoholic beverages,food,Unauthorised novel food with undeclared THC,18-12-2023 13:15:04,Ireland,alert notification,potentially serious,"Austria,Czech Republic,Germany,Hungary,Ireland,Malta","Czech Republic,Ireland,Malta,Netherlands,United Kingdom","Austria,Czech Republic,Germany,Hungary,Malta,Netherlands","Czech Republic,Ireland,Malta,Netherlands,United Kingdom",Netherlands,tetrahydrocanabinol (THC),#N/A,#N/A,1,,,,
2023.8535,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8535,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD oils for sale on web shop from France,12-12-2023 12:29:53,Belgium,information notification for follow-up,potential risk,"Belgium,France",,France,France,France,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.8509,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8509,other food product / mixed,food,Sale of products containing non-authorized novel food cannabidiol  (CBD) from the Netherlands,11-12-2023 14:56:43,Belgium,information notification for follow-up,potential risk,,Belgium,Netherlands,"Belgium,Netherlands",Netherlands,,#N/A,#N/A,1,,,,
2023.8485,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8485,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD for sale on web shop from France,08-12-2023 17:25:58,Belgium,information notification for follow-up,potential risk,"Belgium,France",France,"France,Switzerland","France,Switzerland",France,,#N/A,#N/A,1,,,,
2023.8417,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8417,confectionery,food,High content of hexahydrocannabinol (HHC) in HHC gummies from the Netherlands,07-12-2023 10:04:11,Germany,alert notification,serious,Germany,,"Germany,Netherlands","Germany,Netherlands",Netherlands,hexahydrocannabinol unauthorised novel food ingredient,A035L,Jelly candies,1,,,,
2023.8247,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8247,"dietetic foods, food supplements and fortified foods",food,Elevated levels of  levels of Delta‐9‐tetrahydrocannabinol (THC) in Hemp Powder from UK,29-11-2023 16:55:46,Ireland,information notification for attention,potentially serious,Ireland,"Ireland,United Kingdom",,United Kingdom,United Kingdom,tetrahydrocanabinol (THC),A03SS,Herbal formulations and plant extracts,1,,,A0DAS,Hemp seeds and similar-
2023.8219,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8219,"dietetic foods, food supplements and fortified foods",food,Elevated Delta-9-tetrahydrocannabinol in Hemp + Protein Mix,28-11-2023 16:44:57,Ireland,alert notification,potential risk,Ireland,,Germany,"Germany,Ireland",Germany,tetrahydrocanabinol (THC),#N/A,#N/A,1,,,A0DAS,Hemp seeds and similar-
2023.8206,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8206,confectionery,food,unauthorised novel food ingredient tetrahydrocannabiphorol (THCP) (in gummies from unknown origin,28-11-2023 11:40:48,Sweden,alert notification,potentially serious,,Germany,Germany,Sweden,unknown origin,,A035L,Jelly candies,1,,,,
2023.8171,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8171,confectionery,food,"unauthorised novel food ingredient tetrahydrocannabiphorol (THCP) in gummies from unknown origin, via Germany",24-11-2023 17:20:56,Sweden,alert notification,potentially serious,"Germany,Sweden","Netherlands,Norway,Sweden","Germany,Netherlands,Sweden","Germany,Netherlands,Sweden",unknown origin,tetrahydrocannabiphorol (THCP) unauthorised novel food ingredient,A035L,Jelly candies,1,,,,
2023.8155,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8155,"dietetic foods, food supplements and fortified foods",food,Tetrahydrocannabinol (THC) and unauthorized novel food ingredient cannabidiol (CBD) in CBD oil from Switzerland,24-11-2023 14:48:06,Germany,alert notification,serious,"Germany,Switzerland",Germany,Switzerland,"Germany,Switzerland",Switzerland,tetrahydrocanabinol (THC),A03SS,Herbal formulations and plant extracts,1,,,,
2023.8022,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8022,confectionery,food,CBD products (1/2) found during investigation in relation with AA23.1971,20-11-2023 17:34:50,Luxembourg,information notification for follow-up,potential risk,"France,Germany,Luxembourg","France,Luxembourg,Switzerland","France,Germany,Switzerland","France,Germany,Luxembourg,Switzerland",Switzerland,,#N/A,#N/A,1,,,,
2023.8015,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.8015,"dietetic foods, food supplements and fortified foods",food,CBD products (2/2) found during investigation in relation with AA23.1971,20-11-2023 15:57:53,Luxembourg,information notification for follow-up,potentially serious,"France,Germany,Luxembourg","Czech Republic,France,Germany,Luxembourg,Switzerland","Austria,Germany,Switzerland","Czech Republic,Germany,Luxembourg,Switzerland",Switzerland,,#N/A,#N/A,1,,,,
2023.7866,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7866,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD for sale on web shop from France,14-11-2023 17:03:58,Belgium,information notification for follow-up,potential risk,"Belgium,France",,"France,Italy,Switzerland",France,Italy,,#N/A,#N/A,1,,,,
2023.7835,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7835,confectionery,food,CBD gummies containing Delta 9 THC,13-11-2023 17:58:38,France,alert notification,serious,"Italy,Portugal,Spain",,"Italy,Portugal,Spain",France,France,tetrahydrocanabinol (THC),A035L,Jelly candies,1,,,,
2023.7789,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7789,non-alcoholic beverages,food,CBD in soft drink from France,10-11-2023 17:27:17,Luxembourg,information notification for follow-up,potential risk,"France,Luxembourg","Germany,Switzerland",Northern Ireland,"France,Luxembourg,United Kingdom","France,Northern Ireland",,A03EA,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",1,,,A03DZ,Soft drinks
2023.7732,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7732,"dietetic foods, food supplements and fortified foods",food,unauthorised novel food ingredient cannabidiol (CBD) in CBD oil from unknown origin,09-11-2023 14:46:05,Denmark,information notification for follow-up,potentially serious,"Denmark,Lithuania","Denmark,Lithuania,Netherlands","Denmark,Netherlands,Poland,Sweden","Denmark,Lithuania,Netherlands",unknown origin,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.7699,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7699,other food product / mixed,food,Unauthorized novel foods (CBD and other cannabis derivatives) in foodstuffs marketed online//Nuevos alimentos no autorizados (CBD y otros derivados de cannabis) en diversos alimentos comercializados online,08-11-2023 18:20:21,Spain,information notification for follow-up,potential risk,"Hungary,Spain","Bulgaria,Czech Republic,Hungary,Netherlands","Netherlands,United Kingdom,United States","Bulgaria,France,Hungary,Netherlands,Spain",,,#N/A,#N/A,1,,,,
2023.7441,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7441,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD for sale on web shop from France,31-10-2023 16:00:33,Belgium,information notification for follow-up,potential risk,"Belgium,France",,France,France,France,,#N/A,#N/A,1,,,,
2023.7304,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7304,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food ingredient Cannabidiol (CBD) in food supplement from the United Kingdom,26-10-2023 11:22:40,Slovenia,border rejection notification,potential risk,,United Kingdom,United Kingdom,United Kingdom,United Kingdom,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.7288,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7288,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD for sale on web shop from France,25-10-2023 17:02:17,Belgium,information notification for follow-up,potential risk,"Belgium,France",,France,France,France,,#N/A,#N/A,1,,,,
2023.7283,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7283,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food CBD for sale on web shop from Switzerland,25-10-2023 16:44:49,Belgium,information notification for follow-up,potential risk,"Belgium,France","Belgium,Switzerland","France,Switzerland","France,Switzerland",France,,#N/A,#N/A,1,,,,
2023.7153,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7153,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food ingredient Cannabidiol (CBD) in food supplement from the United States via the United Kingdom,20-10-2023 12:28:19,Slovenia,border rejection notification,potential risk,,"Slovenia,United States",United States,"Slovenia,United Kingdom,United States",Slovenia,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.7124,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7124,confectionery,food,Tetrahydrocannabinol (THC) and unauthorised novel food ingredient cannabidiol (CBD) in chewing gum from Czech Republic,19-10-2023 15:24:08,Germany,information notification for follow-up,potentially serious,Germany,,Czech Republic,"Czech Republic,Germany",,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A035M,Chewing gum,1,,,,
2023.7102,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7102,fats and oils,food,CBD oil containing Delta 9 THC,18-10-2023 17:12:47,France,alert notification,serious,"France,Italy,Spain","Spain,Switzerland","France,Italy,Spain,Switzerland","France,Italy",Switzerland,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A03SS,Herbal formulations and plant extracts,1,,,,
2023.7073,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.7073,non-alcoholic beverages,food,Unauthorised novel food ingredient cannabidiol (CBD) in syrup from France,17-10-2023 16:38:35,Germany,information notification for follow-up,potentially serious,"Austria,Belgium,Croatia,Denmark,Germany,Italy,Liechtenstein,Netherlands,Portugal,Romania,Slovakia,Spain",France,"Austria,Belgium,Croatia,Denmark,France,Germany,Italy,Liechtenstein,Netherlands,Portugal,Romania,Slovakia,Spain","France,Germany,Romania",France,cannabidiol (CBD)  unauthorised novel food ingredient,#N/A,#N/A,1,,,A033Z,Syrups
2023.6919,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6919,"dietetic foods, food supplements and fortified foods",food,Marketing of food products containing the novel food ingredients CBD and CBG on the website www.spicymedical.dk and a Polish company seems to be responsible,12-10-2023 09:36:47,Denmark,information notification for follow-up,potentially serious,,,Poland,Poland,Poland,,#N/A,#N/A,1,,,,
2023.6914,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6914,confectionery,food,Unauthorized novel food ingredient hexahydrocannabinol (HHC) in HHC gummies from the Czech Republic,11-10-2023 17:37:12,Germany,information notification for follow-up,potential risk,Germany,,Czech Republic,"Czech Republic,Germany",Czech Republic,novel food  unauthorised,A035L,Jelly candies,1,,,,
2023.6878,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6878,honey and royal jelly,food,Tetrahydrocannabinol (THC) and unauthorized novel food ingredient cannabidiol (CBD) in honey from Switzerland,10-10-2023 16:05:48,Germany,information notification for follow-up,potentially serious,Germany,"Germany,Netherlands",Switzerland,"Germany,Switzerland",Switzerland,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A033J,Honey,1,,,,
2023.6848,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6848,honey and royal jelly,food,Unauthorised novel food ingredient cannabidiol (CBD) in honey from France,09-10-2023 17:12:03,Germany,information notification for follow-up,potentially serious,"Germany,Italy",,"France,Italy","France,Germany",France,cannabidiol (CBD)  unauthorised novel food ingredient,A033J,Honey,1,,,,
2023.6664,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6664,confectionery,food,Unauthorised novel ingredient hexahydrocannabinol (HHC) in fruit jelly from Austria,02-10-2023 14:33:27,Germany,alert notification,serious,Germany,Austria,Austria,"Austria,Germany",Austria,novel food  unauthorised,A16FC,Fruit jelly,1,,,,
2023.657,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.657,confectionery,food,Unauthorized novel food ingredient cannabidiol (CBD) in gum candies from France,28-09-2023 14:18:21,Germany,information notification for follow-up,potential risk,"Belgium,Germany,Romania",Germany,"Belgium,France,Romania","France,Germany,Romania",France,cannabidiol (CBD)  unauthorised novel food ingredient,A035L,Jelly candies,1,,,,
2023.6564,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6564,confectionery,food,Unauthorized novel food ingredient CBD in gum drops from France,28-09-2023 11:42:25,Germany,information notification for attention,potential risk,"Germany,Spain","France,Spain",,"France,Germany",France,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A035K,Gum drops,1,,,,
2023.6495,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6495,"dietetic foods, food supplements and fortified foods",food,Unauthorized novel food ingredient CBD in food supplement from Austria,26-09-2023 11:34:11,Germany,information notification for attention,potential risk,Germany,,Austria,"Austria,Germany",Austria,cannabidiol (CBD)  unauthorised novel food ingredient,A03SS,Herbal formulations and plant extracts,1,,,,
2023.6328,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6328,"dietetic foods, food supplements and fortified foods",food,unauthorised novel food ingredient cannabidiol (CBD) in food supplements from Bulgaria offered online for sale,18-09-2023 17:22:13,Denmark,information notification for follow-up,potential risk,Denmark,"Denmark,Netherlands,Poland",Bulgaria,Bulgaria,Bulgaria,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.6073,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.6073,"cocoa and cocoa preparations, coffee and tea",food,CBD Tea not marketable due to the substantial material properties,21-09-2023 14:55:10,Austria,information notification for follow-up,potential risk,Austria,,Netherlands,Netherlands,Netherlands,cannabidiol (CBD)  unauthorised novel food ingredient,A03LB,Tea beverages,1,,,,
2023.5993,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5993,confectionery,food,CBD Gummies are not marketable due to their substantial material properties,20-09-2023 16:47:32,Austria,information notification for follow-up,potential risk,Austria,,Netherlands,Netherlands,Netherlands,cannabidiol (CBD)  unauthorised novel food ingredient,A035L,Jelly candies,1,,,,
2023.586,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.586,confectionery,food,Unauthorized novel food ingredient hexahydrocannabinol (HHC) and high content of delta-9-tetrahydrocannabinol (THC) in HHC gumies from the USA,29-08-2023 16:39:17,Czech Republic,information notification for attention,serious,Czech Republic,,United States,"Czech Republic,United States",United States,tetrahydrocanabinol (THC),A035L,Jelly candies,1,,,,
2023.585,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.585,"dietetic foods, food supplements and fortified foods",food,Novel food CBD sold online from Poland,29-08-2023 14:40:14,Sweden,information notification for follow-up,potential risk,,,,Poland,Poland,cannabidiol (CBD)  unauthorised novel food ingredient,#N/A,#N/A,1,,,,
2023.5793,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5793,confectionery,food,Unauthorised ingredient delta-9-tetrahydrocannabinol (THC) and unauthorised ingredient cannabidiol (CBD) in cannabis chocolate from Czech Republic,11-09-2023 14:26:31,Germany,information notification for follow-up,potentially serious,Germany,Czech Republic,"Czech Republic,France","Czech Republic,France,Germany,Luxembourg",Czech Republic,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A0EQD,Chocolate and similar,1,,,,
2023.5783,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5783,"cocoa and cocoa preparations, coffee and tea",food,Unauthorised Novel food Ingredient (CBD) in organic hemp tea from Cyprus,25-08-2023 16:39:16,Latvia,information notification for follow-up,potential risk,Latvia,,Cyprus,Cyprus,Cyprus,,A03LB,Tea beverages,1,,,,
2023.5707,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5707,other food product / mixed,food,High content of delta‐9‐tetrahydrocannabinol (THC) in cookies from Slovenia,23-08-2023 13:49:22,Austria,alert notification,serious,"Austria,Croatia,Czech Republic,Greece,Italy,Malta",,"Austria,Croatia,Czech Republic,Greece,Italy,Malta,Slovenia","Austria,Slovenia",Slovenia,tetrahydrocanabinol (THC),A009V,Biscuits,1,,,,
2023.5615,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5615,"dietetic foods, food supplements and fortified foods",food,Non-authorised novel food ingredient cannabidiol in CBD oil from Austria,18-08-2023 18:00:03,Germany,information notification for follow-up,potentially serious,Germany,,Austria,"Austria,Germany",Austria,,A03SS,Herbal formulations and plant extracts,1,,,,
2023.5523,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5523,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food ingredient (CBD) in food supplement from Austria,16-08-2023 10:10:55,Germany,information notification for follow-up,potential risk,Germany,Germany,,"Austria,Germany",Austria,cannabidiol (CBD)  unauthorised novel food ingredient,A03SS,Herbal formulations and plant extracts,1,,,,
2023.5465,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5465,"dietetic foods, food supplements and fortified foods",food,"Non-approved novel food ingredient CBD in ""CBD Cola"" from France",11-08-2023 15:31:36,Germany,information notification for follow-up,potentially serious,France,Germany,France,"France,Germany",France,cannabidiol (CBD)  unauthorised novel food ingredient,A03DZ,Soft drinks,1,,,,
2023.5408,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5408,"dietetic foods, food supplements and fortified foods",food,CBD OIL FULL SPECTRUM,09-08-2023 17:58:12,France,alert notification,serious,France,,France,"Czech Republic,France",Czech Republic,tetrahydrocanabinol (THC),A03SS,Herbal formulations and plant extracts,1,,,,
2023.5353,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5353,"dietetic foods, food supplements and fortified foods",food,Unauthorised novel food ingredient CBD in CBD Crystals from Spain,08-08-2023 11:10:42,Germany,information notification for follow-up,potentially serious,"France,Spain",,Spain,"France,Germany,Spain,United Kingdom",Spain,cannabidiol (CBD)  unauthorised novel food ingredient,#N/A,#N/A,1,,,,
2023.5348,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5348,"dietetic foods, food supplements and fortified foods",food,Novel food ingredient CBD in CBD oil from Switzerland,07-08-2023 15:54:26,Germany,alert notification,serious,France,,"France,Switzerland","France,Germany,Switzerland",Switzerland,cannabidiol (CBD)  unauthorised novel food ingredient,A03SS,Herbal formulations and plant extracts,1,,,,
2023.5242,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5242,other food product / mixed,food,Unauthorised novel food ingredient cannabidiol (CBD) in mouth spray from the Netherlands,03-08-2023 09:14:37,Germany,information notification for follow-up,potential risk,Germany,Germany,Netherlands,"Germany,Netherlands",Netherlands,cannabidiol (CBD)  unauthorised novel food ingredient,#N/A,#N/A,1,,,,
2023.513,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.513,"dietetic foods, food supplements and fortified foods",food,Increased THC content in CBD spray from Slovenia,28-07-2023 15:13:09,Germany,information notification for attention,serious,Germany,Slovenia,,"Germany,Slovenia",Slovenia,tetrahydrocanabinol (THC),#N/A,#N/A,1,,,,
2023.5086,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5086,"dietetic foods, food supplements and fortified foods",food,Tetrahydrocannabinol (THC) and unauthorised novel food ingredient cannabidiol (CBD) in food supplements from the Netherlands,27-07-2023 12:07:34,Germany,alert notification,serious,Germany,,Netherlands,"Germany,Netherlands",Netherlands,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",A03SS,Herbal formulations and plant extracts,1,,,,
2023.5041,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.5041,"cocoa and cocoa preparations, coffee and tea",food,Tetrahydrocannabinol (THC) in hemp-herbal tea from the Netherlands,26-07-2023 13:36:20,Germany,alert notification,serious,"Germany,Switzerland",Germany,,"Germany,Netherlands",Netherlands,tetrahydrocanabinol (THC),A03JK,Herbal infusion materials from leaves and herbs,1,,,,
2023.4762,Contaminants,THC,Tetrahydrocannabinol,CBD|tetrahydrocannabinol|THC|HHC,,Plant toxins,2023.4762,"dietetic foods, food supplements and fortified foods",food,CBD in food,14-07-2023 11:41:18,Switzerland,alert notification,serious,"Brazil,China,Germany,Monaco,New Zealand,Norway,Saudi Arabia,Singapore,Thailand,United Kingdom,United States","Denmark,Switzerland","Denmark,Germany,Netherlands,Norway,Sweden","Denmark,Germany,Netherlands,Switzerland",Switzerland,"cannabidiol (CBD)  unauthorised novel food ingredient,tetrahydrocanabinol (THC)",#N/A,#N/A,1,,,,
2024.347,Contaminants,Dioxins and PCBs,Dioxins and PCBs,PCB|polychlorobifenyl|Dioxin,,Halogenated persistent organic pollutants,2024.347,poultry meat and poultry meat products,food,NDL PCBs in Whole Frozen Chickens,30-04-2024 16:26:07,Denmark,alert notification,serious,Democratic Republic of the Congo,"Democratic Republic of the Congo,Denmark,INFOSAN,United Arab Emirates",France,"Democratic Republic of the Congo,Denmark,France,United Arab Emirates",France,ndl-PCB,A01SP,Chicken fresh meat,1,,,,
2024.4249,Contaminants,PFAS,Dioxins and PCBs,perfluoro|PFAS|PFOS|PFNA|PFHxS|PFOA,,Halogenated persistent organic pollutants,2024.4249,bivalve molluscs and products thereof,food,PFOA in frozen cooked bivalve molluscs (Paphia textile) from Vietnam DL 449,03-06-2024 07:41:30,Italy,border rejection notification,serious,,,,"Italy,Vietnam",Vietnam,perfluorooctanoic acid (PFOA),A02GM,Molluscs,1,,,,
2024.3696,Contaminants,PFAS,Dioxins and PCBs,perfluoro|PFAS|PFOS|PFNA|PFHxS|PFOA,,Halogenated persistent organic pollutants,2024.3696,bivalve molluscs and products thereof,food,PFOA in cooked bivalve molluscs (Paphia textile) from Vietnam,08-05-2024 15:19:06,Italy,information notification for attention,serious,,Vietnam,,"Italy,Vietnam",Vietnam,perfluorooctanoic acid (PFOA),A02GM,Molluscs,1,,,,
2024.0737,Contaminants,PFAS,Dioxins and PCBs,perfluoro|PFAS|PFOS|PFNA|PFHxS|PFOA,,Halogenated persistent organic pollutants,2024.0737,crustaceans and products thereof,food,PFNA in dried shrimps from Thailand,02-02-2024 12:06:09,Norway,border rejection notification,serious,,,,"Norway,Thailand",Thailand,perfluorononanoic acid (PFNA),A02FX,Shrimps and prawns,1,,,,
2024.0722,Contaminants,PFAS,Dioxins and PCBs,perfluoro|PFAS|PFOS|PFNA|PFHxS|PFOA,,Halogenated persistent organic pollutants,2024.0722,bivalve molluscs and products thereof,food,PFOA in bivalve molluscs (paphia undulata).,01-02-2024 14:26:41,Netherlands,information notification for attention,serious,,,,"Netherlands,Thailand",Thailand,perfluorooctanoic acid (PFOA),A02GM,Molluscs,1,,,,
